restaurant_name,number,review
Mí Casa Market,1,Our good friends live close by to this store and it s a real treat to swing by Mi Casa on the way to visit their home for dinner or a BBQ. Very easy access from southbound Dessau with their own dedicated driveway. Just look for the animated LED sign to know when to turn right. Ample parking spaces so no long hot walks to reach the entrance. Quick in and out to grab beer  meat for the grill  some salsas and guac  and maybe some fresh baked pastries for dessert.  The bakery in here is a hidden gem if you like super fresh Mexican pastries and other delicious hand made breads and cakes. The walk in beer cooler and little wine alcove along the front wall full of wines is awesome. Meat counter selection is good and the counter staff are very friendly. Just keep in mind this is not pre packaged meat sealed up in plastic so you ll want to cook or freeze it within a day or two. The marinated meats are tasty but can be on the salty side sometimes. When it comes to meat the whole point for us is to get it fresh cut then take it to our friend s home and cook it right away for peak flavor. Yet I ve seen other reviews on here where people seem to miss that aspect and forget that natural meats cut to order don t have tons of preservatives so you don t want to let them sit around for days before cooking them.  There is a limited selection of organic produce here but there are options. The produce here can sometimes be a bit hit or miss which is why I m only giving 4 stars. Most of the time everything is A-OK in the produce section though. I m guessing this is an issue with their supplier or something. Produce reminds me of the produce at Supermercado El Rancho. The cost is low but the produce is ripe and ready to be used with minimal chemicals sprayed on it like you find at HEB with their non-organic produce.  There is a standalone fridge with glass door near the registers with various salsas and hot sauces. Be careful as they are delicious and highly addictive  We discovered these because when the kitchen was still open they will include these same sauces with the made to order plates of food.  Hope to see their kitchen back in full operation very soon. Before covid19 struck it was really nice to chill on their huge outdoor patio eating fresh made tacos or tucking into a huge torta along with a cold beer or other drink. They have a soda fountain in there but unsure if it s in operation what with the kitchen being in limited operation. Used to have those Maine Root sodas which are simply divine. Once upon a time they had a couple beers on tap in the kitchen but the bottled selection for sale inside the store is much much better imho. There is a walk up order window on the outdoor patio but it s rare to see anyone using it. We usually ordered inside.  It is a real mystery why the outdoor patio space is not occupied most of the time. Someone might hire a kitchen manager with bar experience in order to curate a menu that suits patio dining. A margarita machine plus hot chips and fresh salsa could turn this into a lucrative little outdoor eatery and lowkey bar 
Mí Casa Market,2,You know BEFORE this COVID-19 pandemic I was going to update my review for Mi Casa Market  amp  go down in my rating because Mi Casa Market has been slackin  on having fresh Mexican Sweet Bread BUT then the global pandemic happened  amp  that put things in perspective real quick    Of course having fresh Mexican sweet bread was no longer a thought but being able to still buy toilet paper  bleach  eggs   amp  meats at Mi Casa Markets fresh meat deli were now essential items that were like gold during this very scary  amp  never experienced before pandemic.  From the beginning of this craziness Mi Casa Market has carried all of the items that were no longer on the shelves at my local HEB or Walmart.   I also have to give kudos to the employees at Mi Casa Market for enforcing the wearing of a mask while shopping.   Stay safe    -Rebecca out
Mí Casa Market,3,Newly built  I visited this market to check it out today and was fairly impressed.    They have a Taqueria inside of this market that offers tacos  soups  burritos  and more. The nice young woman who took my order was great at customer service. The food was decently priced and from the Chicken Fajita taco I had  pretty good eats    The market itself is clean and has a big produce section as well as a big meat market  good wine choice  and of course - beer.  Their bakery selection is wide in variety and looks amazing  They carry most grocery store fare with a bit extra. It is by no means a huge market but it is clean and everyone is nice.    I will definitely be going back to try their Pozole from the Taqueria next time 
Mí Casa Market,4,Everything is marked up heavily and the produce is garbage. Aside from that  it s the same owners as the Texaco across the street  and the micropenis male employees like to say derogatory slurs under their breath like little girls when you re checking out.  I avoid most places just for the purpose of not having to listen to that unprovoked weaksauce bs.
Mí Casa Market,5,I bought a bag of potato in this market. All turning to green and growing trees. That should bring toxic to health if use these potato.  So that I decide to call them to remind them about this problem to change. The problem is the service in this market is poor. They said its normal. I left 1 star not because the potato growing trees but the service. Every body make mistake. However They dont agree their fault and say normal. Toxic go into body is not normal.
Mí Casa Market,6,Finally got a chance to stop by and i will be coming back. The food looked really fresh and the tacos were good as well.
Mí Casa Market,7,Thanks to the Mi Casa staff for keeping essentials on hand and remaining open when possible during bad weather. We needed shelf-stable goods during an 80 hr. long power outage due to the recent winter storm and Mi Casa had us covered. Hope everyone is safe.
Mí Casa Market,8,Although Mi Casa Market was convenient during the blizzard  this store is usually disappointing. It is common for this store to not have regular  everyday items like bread or milk. Likewise  the employees  the young girls who work in the front  are usually... rude. Recently  I asked one them if they were out of bread. Given that she didn t speak English  which is fine  of course   she had to ask a co-worker to translate. This was  of course  after she rolled her eyes at my simple question.
Mí Casa Market,9,Love the tacos here. We go almost every weekend. The people are really kind and very helpful. The al pastor tacos with the green sauce are by far my favorite.   Great place for majority of your groceries too.
Mí Casa Market,10,I was visiting my brother recently after he moved to a new home in Austin and wanted to make dinner for them  so we stopped in here to pick up groceries. I was surprised by how clean the place is  but it did seem pretty new too. They had the meat and groceries I needed  some things I didn t need and the staff were super helpful since I didn t know my way around the store. They actually all spoke English too  which surprised me as I ve come not to expect that Houston markets isn t really an issue anyways   but I think makes for a more approachable experience for some customers that may not shop there otherwise. Definitely will be back in the future when visiting Austin.
