restaurant_name,number,review
Fajita Pete's - MoPac,1,So glad I found this place  Fajita Pete s   I was stuck in the car  waiting for my wife at a doctor s appointment and it had gone on more than two hours.  I was famished and I wanted to get a bite to eat.  My choices were so limited.   I m trying to eat healthy and all I could find were greasy fast food burgers  or pizza  or other things that would not fit what I was looking for.   But I found this place Fajita Pete s on Yelp and went in there.  Sure enough I was able to get a healthy chicken fajita salad. nice protein  and very few carbs     The fajitas were outstanding  and the staff was really  really nice and really helpful. They even gave me a sample of the chicken and the beef before I placed my order so I knew which way I wanted to go.   Great place and I ll be back
Fajita Pete's - MoPac,2,I really wanted this takeout place to work out. Apparently  they have done well in the Houston region.  That said  it s pretty risky for a TexMex takeout business to come into Central Texas and try to pull off a takeout TexMex concept. There are some exceptional TexMex eateries to get takeout from in Austin. You have to be just as good as everyone else. The  Fajitas for 2  takeout order we had  Cons  - Very little onions and peppers included  - Mixed beans were the worst I have ever had  - Not enough tortillas  - watered down tasteless salsa  Pros  - the meat was seasoned well and tasty - the rice was good - they deliver... includes Margaritas   In short  Fajita Petes is just not up to par with most local Tex-Mex restaurants. There  I said it.... I wish them luck in other cities  but they will have a difficult time making it in Central Texas.
Fajita Pete's - MoPac,3,Anyone who know me  knows that I m a snob when it comes to Mexican food.  I grew up in Mexico after all   So I had Fajita Pete s today for the first time.  Went with the beef fajitas  boracho beans  flour tortillas and of course  margaritas.  A  on all of it   The fajitas were tender  moist and tasty.  The tortillas were homemade.  The boracho beans were good -- wish I had more of them.  And the margaritas were excellent.  This is a place I will be coming back to for sure   Thank you Fajita Pete s   
Fajita Pete's - MoPac,4,Sergieo can definitely provide miracles   Evening tough days  he comes through   The food and Margarita s were delicious too   Definitely would call on him again in the future   Thank you Sergio 
Fajita Pete's - MoPac,5,I was really excited for Fajita Pete s to open on Balcones  because it is on my way home from work  and I was looking forward to many easy pick-up meals in the future.  So with great anticipation  I ordered the 4-person fajita pack for dinner tonight.   The good - online ordering was easy  and my food was ready right on time.    The bad - when I got home and opened the bag  I was totally taken aback by the tiny amount of food. A small flat container of protein  a 16 oz plastic container of rice  a 10 oz plastic container of beans  and an even smaller  maybe 10 oz container  of salsa  a pack of tortillas  and a huge bag of  cheap filler  chips.  This was for FOUR people   With tax and tip  my total price came to  74.  I m generally not a complainer  but this was ridiculous.  I called the store to ask whether or not they had given me the wrong order.  They confirmed it was all correct.  I told the manager  who was very polite and nice and was clearly trying to be helpful  that this wasn t right. After some discussion  he offered to refund my money if I brought the food back.  So I got in my car and drove it all back  and got my money back.  And then I drove directly to Taco Cabana and got their family fajita pack  slightly less protein  more beans  more rice  more tortillas  plus some fried onions guac cheese pico  none of which Fajita Pete s includes  for  35.  Literally less than 1 2 the cost.  Plus I don t have to order ahead - just hit the drive through.  I really can t comment on Fajita Pete s food at all.  I didn t touch it.    TLDR  Unbelievably overpriced for what you get.  With so so so many other places in town to get great fajitas at a fair price - don t waste your money at Fajita Pete s.
Fajita Pete's - MoPac,6,Went during their pre-open when they had an invite for the neighborhood to come try it out. Got some beef  chicken  rice  beans  fajita toppings and flour tortillas. All was tasty. My only beef  heh heh  was that the beef was a tad chewy  and could have used a bit more of the toppings  lettuce cheese etc  to stretch across all the fajitas I constructed. Other than that  I enjoyed every bite  and I m impressed by the homemade tortillas. Want to try the corn tortillas next time. Will be going back.
Fajita Pete's - MoPac,7,This feedback is intended more for the manager  if they are paying attention  than as a slam against them. They are new  and possibly struggling with post-Covid issues relating to hiring competent people  but they are nearby  and FAST delivery. After several orders I have found the quality to be mediocre and very inconsistent. They re fajitas are quite bland. This could be indemic to the chain s recipe  but Chipotle  as an example  has more flavorful meat. Seasoning and marination would help. The beef has been quite tough every time. Either a higher quality of meat or a better marination would help. At a minimum  consistently cutting it into smaller pieces would avoid the situation where you re taking a bite and end up pulling a 3  piece out of your fajita with your teeth. Same goes for chicken-large hunks are not appropriate for fajitas....train your people to chop better. Tortillas is another area of inconsistency. On one order  we ordered both flour and corn and  although commendable  the manager check the order when I picked it up  the corn were actually missing when I got home. Another time  although I commend them for cooking the flour flour tortillas in-house  if you don t cook them  you might as well buy pre-cooked tortillas from Sysco. Mine were mostly raw on this occasion and gross. Lots of potential  but a this point  for fajitas in Austin  a 3 out of 5 is generous. Generamkye  there seemed to be many problems with consistency and a generally very bland flavor.
Fajita Pete's - MoPac,8,My neighborhood group posted this little gem so I had to check out what all the hype was about and yummo   The perfectly homemade tortillas were the best I ve ever had.  I got the chicken  shrimp and beef fajitas because I couldn t decide.  The beef was tender and melted in my mouth.  The chicken was charred to perfection with the desired taste of a delectable fajita meat and the shrimp was mmmm mmmm good   Chips  queso and salsa were a perfect addition with just the right Tex-Mex taste.  Sweet little churros ended with a bang and the kiddos sure loved those.  Will definitely return 
Fajita Pete's - MoPac,9,Our first time and it is wonderful   Everything was fantastic...the corn tortillas are so unique...really handmade and kinda thick.  We got the mixed shrimp and chicken and it was excellent.  Also the refried beans with no lard are fantastic  and nothing is salty....just the right amount. The other items they give to go with the fajitas were all really great. I am totally impressed and will definitely go back.  So glad they are in the neighborhood. You will not be disappointed 
Fajita Pete's - MoPac,10,OMG  this place is totally awesome the food was great I am coming back I m telling my friends about this place.
Fajita Pete's - MoPac,11,Veggie fajitas... greasy cooked on a flat top. Plain uninteresting tortillas  meh sides. So many other places doing so much better food. It s just not worth eating bad food anywhere  including this place.
Fajita Pete's - MoPac,12,Meats we re decent. Salsa like a bland tomato sauce. Refried beans had no texture  more like baby food. Hubby likes the queso. Overall  think food is better  amp  cheaper at Taco Cabana. The nearby Zuzu s is better quality and better flavors.
Fajita Pete's - MoPac,13,We ordered takeout Fajita s and overall enjoyed our order. We ordered online and it was ready in about 20 minutes. We got the beef and chicken fajitas for two  and it came with all the toppings as well as rice  beans  tortillas  and salsa. I think the flavor was pretty good  especially with the beef. I agree with several other reviews though that the portions were pretty small. We only got one small container of rice and beans and the toppings  lettuce  cheese  etc  were really only enough for 2 tacos total. I think this place has good potential but should be a little more generous with their portions.
Fajita Pete's - MoPac,14,Whoaaaaaa   I was surprised and saddened to see some of these negative reviews as this has not been my experience. It is probably pretty hard to get delivery drivers etc during this employee shortage so I am sure it can be pretty hectic over there.  BUT so far we have ordered their fajitas 4 times and had them delivered.  I ve used the app and I also called this evening when my order hadn t arrived.  I realized I had screwed up and made the order for tomorrow.  I just told them to keep that order and I would figure it out for tonight since it was clearly my mistake.  No big deal.  But they were super nice and brought the food right over.  The gentleman on the phone was so nice.  I really appreciated it.  I own my own business and work in the service industry.  I know first hand these reviews can make or break a business.  I hope they stick it out and gain a following here as it is really nice to have something new and easy delivered to the house when I don t have time to get dinner together.  Their fajitas are good too.  I prefer the beef and shrimp and the queso is super yummy.  Oh and the mushrooms.  So good.  Thanks for your hard work everyone 
Fajita Pete's - MoPac,15,Over-priced for the amount of food provided.  They messed up the order.  After being told 20 mins after my delivery time that my food was waiting on the delivery driver  I drove to pick it up.  It was cold.  Hope they figure things out because the Houston Bellaire location was amazing but this franchisee hasn t figured it out yet including pricing.
Fajita Pete's - MoPac,16,Loved our Fajitas Pete s order  Ordered the La Familia to cover us on lunch today and dinner tomorrow. Taquitos  guac  and quesoooo. The chicken beef fajitas perfect and corn tortillas absolute must.   I do wish fajitas came with shredded lettuce. Kids loved the churros too  We will  be back 
Fajita Pete's - MoPac,17,I was quoted a 20 min pick up time. After placing order  they changed it to 60 min. I called store and attempted to cancel  but they told me it would be ready in 20 min. I drove to the store  and then they said it would be another 60 min. Unreliable and bad customer service. At least I got my money back.
Fajita Pete's - MoPac,18,Fajita Pete s hit it out of the park last night   They catered our meal for our son s wedding shower for 50 ppl.  The process was seamless.  The food arrived perfectly on time and was set up efficiently.  It was SO delicious  fresh and savory.  Everyone enjoyed it   We cannot recommend them enough  Scott Family
Fajita Pete's - MoPac,19,The concept is nice but still has some issues.  We ordered online and everything went fine.   Food was ready when noted and was hot even in the case of having to drive a bit.  Overall the beef fajitas were good  similar to Lupe Tortilla.  The issues is three things. For the money the amount of fajitas you receive is very small.  We got the fajitas for four and it turns out to be about one fajita per person.  Then on top of that even though the website states you get guacamole with your order it did not come with any.  When calling to inform them that we did not receive guacamole we were asked if we ordered by phone or online.  When we stated online the response was oh that is the problem we are telling everyone when they call in        There was no real interest in rectifying the order.   As of today the website still states you get guacamole.  Not sure if this has been fixed but for the prices charged.  Lastly the tortillas were good but wrapped tightly together in tin foil.  By the time we got home each of the tortillas had molded together and were fairly useless.  The taste was good but for a togo fajita shop the detail of how the food travel is important and when you charge a premium it needs to be addressed.
La Sirena,1,La Sirena came to my complex for a food truck night and their shrimp quesadillas are   Besides how delicious it was It had so much shrimp and they were a really decent size. Loved it and can t wait to try some other foods from them 
La Sirena,2,Decent tacos  made me pretty happy. They were a decent size and the shrimp was flavorful. I only got the camaron so I ll need to go back and try the beef ti has a full understanding of their range.
