restaurant_name,id,number,review,rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,1,"I came for breakfast tacos, and they were amazing. Warm, delicious, comforting, with excellent sauces. They have a variety of excellent tacos but my favorite ended up being just potato, chorizo, and cheese. We also tried the Ranchero Taco and the Alambre Taco and they were both unique and delicious. <br/><br/>My only small complaint is when you add egg to a taco, I think they add a bit too much and it can overwhelm everything else and also be too filling.<br/><br/>I recommend grabbing coffee beforehand from Revival!",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,2,"Great tacos! Nice size! Great taste! <br/><br/>The wait wasn't bad when I got there. There was a family in front of me that didn't know what to order so that took 10 minutes for them to decide. Please know what you want before you step to the front.<br/><br/>Lady taking orders looked annoyed at folks that didn't know the basics, like salsa. ""What salsa do you have?"" Sign is up front bud. And guess what? Usually it's red or green. <br/><br/>After ordering, it did take some time to get the food, but I didn't mind. Probably 20 minutes for 4 tacos, but probably because that family in front ordered a lot. <br/><br/>Will be back.",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,3,"One of my favorite breakfast tacos ever! It's quick service, has a good amount of outdoor seating, and absolutely delicious food. <br/><br/>I got the Machaca Taco and devoured all of it. It was packed with flavor and filling for a morning bite!<br/><br/>Highly recommend stopping by one of their two locations.",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,4,"Decided to try Granys Tacos, went on weekday morning, so not much crowded, Ordered chips with guacamole and salsa, Migas, shrimp taco and Rico taco.<br/>Loved the chips, they were thick and nice, not like thin, the one you get it in supermarkets.<br/>Migas and shrimp were good, my son absolutely love mole sauce, so obviously he got Rico taco, but he said it's too dry and more than that, way way too salty, so dint wanted to eat after a bite, hubby took a tiny bite and confirmed it, so that was absolute waste.<br/>Guy at the truck was good, if you're in the area, give it a try !!",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,5,"Reminds me of the food my nanny used to make in Mexico City: Comforting, very homemade stewed meats served up with tortillas. Greasy. Warm. Seasoned with the knowledge and wisdom of her ancestral cooks. <br/><br/>Granny's Tacos may call one of their offerings ""al pastor,"" which it most definitely is not. Rather, it is another Mexican delicacy - cochinita pibil - pork cooked with achiote, an exquisite paste featuring the annatto seed from the tropical achiote tree. Wish they served them with the traditional red pickled onions, too. <br/><br/>The Granny taco is another kind of stewed pork, served with a heap of onions, pico de gallo, a slice of avocado and lime. <br/><br/>This food truck must serve up half an onion with each taco and that's delish. <br/><br/>Their handmade corn tortillas are a mess, though. I don't know how they can even call them tortillas. They're more like thin, wet, flavorless focaccia. <br/><br/>I inhaled the taco fillings and dumped the offending bread.",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,6,Soooooo yummy! Worth a trip to Austin. Mole breakfast taco... whaaaat?! My only regret is not getting more.,5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,7,"Granny's Tacos has been our go-to place for our taco fix.<br/><br/>Sometimes they are out of our favorite green salsa. Sometimes an ingredient or two gets forgotten, like a slice of avocado or bell peppers or jalapeño. But they've been pretty consistent lately, and everything has been on point. Tacos are generouly stuffed and very messy to eat. All is right with the world.<br/><br/>Today I remembered to take photos before we started our feeding frenzy.",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,8,"Had the abuela, shrimp, and Birria. All were really sauce and tasty! Really enjoyed the sauciness!",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,9,"Such a hidden gem in the outskirts of downtown Austin! I found this place as I was searching for a place to get some breakfast tacos nearby Franklin's BBQ as I waited on the ridiculous line for 5 hours. I stumbled upon Granny's Tacos which looked pretty legit online so I had to try it for myself. I was not disappointed! In fact, it ended up being my FAVORITE breakfast taco! <br/><br/>I only ordered one breakfast taco since my wife and I were going to have a heavy lunch at Franklin's. Omg I wish I had some more the next day... it was so delish! Juicy, flavorful, the salsa was fresh and citrusy, and spicy. The lady at the window recommended the Machaca breakfast taco which came with braised beef, eggs, avocado, onions, tomato, and cilantro on a flour tortilla with your choice of a side of salsa. They have mild green, medium roasted chili, and hot red. I got the roasted chili which was orange in color - so delicious!<br/><br/>5/5 solid food truck serving up the BEST breakfast tacos, in my opinion. I'd definitely come back again.",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,10,"Y'all, Ray hooked it up and took us to flavor town with his delicious tacos!<br/>I had the chicken which was *chefs kiss* and the Al pastor which was also delicious.<br/>Him and his son are so kind and holding down the tacos in ATX. Everything was fresh down to the chips and tortilla and the quality spoke for itself it was 10/10.<br/>I had them at Blues on the Green but will definitely be heading there after some bailando on East 7th.",5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,11,Probably the best tacos I've ever had. Both the breakfast and lunch options were incredible.,5 star rating
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,12,Fresh overflowing breakfast tacos. Totally no frills but so tasty. My wife got the mole and it was balanced and tasty. The eggs were clearly fresh and well seasoned. The corn tortillas were nicely chewy.,5 star rating
