restaurant_name,number,review
OneTaco,1,Found myself looking for a way to spend my day as I visited Austin. Looked up  tacos  cause... Austin. And this place happened to be 5 mins away. How fortunate for me because turns out this place has some unique fulfilling and great tasting choices on their menu   Instagram- bite4_ray
OneTaco,2,Came in this quiet afternoon  looking for a good place to eat and do some work on my device with WiFi. 3 very friendly employees assisted me quickly and respectfully. Loved the Carne Asada taco  Definitely great place to find and will be back. Thank you   Edit- I came again today because of yesterday s experience  and change of feelings and taste. Not very welcoming. I thought I had seen an advertisement for a free chips and salsa  so I mentioned it. Granted  it review and go a few places  the chair stated to grab my phone to show her. Understandable. I didn t and apologize  ordered the El pastor which unfortunately very small and disappointing for the  . I had to ask then to heat up in microwave which was done without a problem. If I was working here I would have made a returning customer a fresh one.   I will try out again sometime in the future. Thanks.
OneTaco,3,I love that the vegetarian options have their own spot  easy to find and quick to read then choose. Everything I ve gotten here has been delicious. I also love to make my own sauce by mixing sauce flavors into the 1oz cups  topping them with the tiny lids and tossing them into my to go bag before heading out.   The few staff I ve talked to seemed friendly and quick. The restaurant clean and kept up.   I will keep coming here.
OneTaco,4,The pastor tacos are delicious    Best pastor I ve tried so far    I totally recommend
OneTaco,5,taco tuesday   I always see onetaco whenever I go grocery shopping at HEB and we finally decided to stop by afterwards for dinner. it just so happened to be tuesday so the al pastor tacos were  2  I usually don t like al pastor but these were delicious  they include a slice of pineapple and I thought it was a great touch.   there s plenty of seating inside and outside. the staff is really friendly. I definitely recommend.
OneTaco,6,Dropped in after a grocery trip to HEB and was thrilled  Great tacos are easy to find in Austin  but appreciated the wider menu and bright  colorful decor.  Got the carne asada  pollo asado  and yucateco - chips  queso and street corn. Everything was fantastic   Salsas definitely spicy. No idea what the yucateco was  except pork  but it was delicious and kinda smoky. I didn t realize they d been on diners  drive ins and dives - but that s definitely why I got that taco  Next time I ll get the gringa.   Great service too - funny and helpful  definitely a great job all around. So convenient  only a bit pricey  only reason for marking it at 4 stars 
OneTaco,7,Relatively decent breakfast tacos. Tortillas were good. Seasoning and salsas were a let down and don t compare to somewhere like Veracruz but you don t have a long wait.
OneTaco,8,Love this place   It smelled so good when we walked in and the staff was so nice  Clean and not a dirty table in sight  Food came out really fast and was absolutely delicious  Such a great experience
OneTaco,9,Absolutely love this place. Just give it all a try and find what is your favorite thing. Because I liked to many things to say just one in particular thing. I ve had breakfast and dinner there and both meals were delicious.
OneTaco,10,It feels like we take out from here at least once a week during our HEB runs. The menu is really small but it has some thing for everyone. The Taco De Pollo Asado is my favorite with the chipotle sauce and burnt brown layer of cheese  I always add jalape os for an extra kick.   They have a variety of Mexican sodas to choose from and 3 types of salsas. Orders are made pretty quickly and service is really friendly.   I ll try the breakfast tacos and vegetarian options one of these days.
OneTaco,11,2 Veggie Tacos were ok Nachos were good but soggy  Ordered carryout maybe would be better in store.
OneTaco,12,I ve been fortunate enough to have had their breakfast tacos in the past thanks to a fellow employee who tended to be a bit  too  generous of bringing breakfast in for everyone at work but this was my first time trying their lunch menu   I got the Taco Norte and it did not disappoint.  Prepared fresh right in front of me  the guy working was nice and attentive  guiding me to the side refreshments station if I needed any extra sauce. Ah man  the FLAVOR in the meat was incredible. Super juicy with the perfect combination of fried cheese  shredded cheese  and pico.  I thought I would need two tacos but one surprisingly did the job just fine. While the menu was small  they do a nice job of keeping quality consistent so hopefully it stays that way.    Tacos were a bit out of my price range  but what taco isn t under  4 these days  but I guess that s the way it goes sometimes 
OneTaco,13,I frequent OneTaco fairly often  The Taco Trompo Tuesday deal is definitely super worth  It used to be  2 for the Al Pastor and Gringo tacos  but recently they raised it to  2.50  which honestly ain t a bad deal either. Also  it seems they took down all the Taco Tuesday ads posters that had been posted around the establishment previously...hopefully the deal doesn t go away anytime soon   The Gringo tacos are litty mctitty  D It s got the same stuff as the Al Pastor--yummy seasoned pork  onions  cilantro  pineapple  and a lime slice on the side BUT they add in some nicely crisped cheese that s fresh off the grill  And I m not even a cheese person  but the Gringo taco is just  so good  And such great value too  I like their green salsa...there are two different green salsas  and one is supposed to be spicier than the other  but I can t really tell them apart in the bottles that they have laid out  so I just take a random pick..and it s always been pretty good 
OneTaco,14,Every time I ve ordered through here they never send my drinks   this will be the 3rd time I don t get the drinks I order   My order was wrong and I tried to call them and there s no answer and can t get a hold of anyone   I specified I wanted corn tortillas they were made in flour   there s no following of directions in the order       It s ridiculous       What s the point in writting specifications on the order if they won t be followed   will not be ordering from this location anymore and it s sad because I loved this place      Very disappointed
OneTaco,15,I ve been avoiding this place. I thought it was like Torchy s or Taco Deli  white-washed   creative  tacos that lack flavor and aren t filling and usually overpriced   and boy  was I wrong. They remind me of the tacos I get back home in Corpus Christi  full and robust. Definitely making my way back there to try the rest of their menu.   I ordered two I double bacons  total 9.37.  More than I would normally pay for tacos  but worth it. 
OneTaco,16,I come here every Tuesday during Taco Tuesday...They have excellent service and delicious food...I highly recommend this place...
OneTaco,17,This used to be my go to taco spot but in a year it s changed dramatically. Their prices have gone up again and again  they ve changed the menu  and some of my favorite items are gone. If you re gonna go  make sure you eat in. If you order to go your whole order gets squished. It s back to looking for a taco truck for me.
OneTaco,18,This place is a hit  100  recommended   Menu is small  but that just means the food they carry really packs a punch of savory and delicious flavors  They have pork  beef  chicken  AND vegetarian options    When I saw the older Mexican band photos posted on the wall I knew this place had to be good   Friendly and helpful staff  and I seriously have to say THE FOOD IS DELICIOUS  with bottled Mexican sodas  beers  and a soda fountain that dispenses the most crisp tasting Sprite ever    Masks required  small but spacious place  clean and clutter free 
OneTaco,19,Really great authentic tacos. The menu isn t large but every taco on there is so full of flavor. I especially loved how they fry the cheese on top so there is a nice crispy crunch to it. Their Agua Fresca and Horchata are also solid drink choices if you are feeling thirsty.   Keep an eye out for their taco Tuesday deals 
OneTaco,20,Most authentic taco place in Austin  coming from a Mexican . Love the pastor  Always craving OneTaco.
OneTaco,21,Delicious quesadillas and tacos some of the best tacos in Austin. Great value and taste 
OneTaco,22,The Al pastor is cut right there and assembled to order. I had one  then went right back up to the counter to order a second.
OneTaco,23,Our favorite go to on weekends  The flavors are so delicious. The staff is nice and work efficiently. It s a must try   Especially the pollo asado and gringa tacos 
OneTaco,24,This was our first time trying it out  and I don t know how I d never heard of One Taco before. It s a no frills tacqueria with a solid menu of classics. We took advantage of the  2 Tuesday special and got tacos al pastor  which were just right. I also liked the Bandera taco  which was very flavorful. The queso is good  standard melty cheese and salsa  but not life-changing. We ll definitely be back for a tasty and reasonably priced lunch.
OneTaco,25,Delicious breakfast tacos  You can taste the tortillas and sauces are made in house. We had the Buenos Dias and the Barbocoa and they did not disappoint  Also very quick service if you re in a rush   
OneTaco,26,very very delicious tacos super clean and friendly  the pastor is very nice marinated and the bistec tacos mmmm are also a must try with the gringas
OneTaco,27,I love coming to this place  It s a great location right next to where I live so it s super convenient. My go to s are the al pastor taco and all of the breakfast tacos. Also  Tuesdays are the best because the al pastor tacos are  2 
OneTaco,28,I went there yesterday with my friend really good quality margarita is great  the tacos are good quality and the staff are very nice  
OneTaco,29,They re my favorite as far as a chain they are really fresh  have a lot of choices and I always get the al pastor and a variety of tacos all are very tasty  I always get corn tortillas abs theirs don t taste like they just got them at the store  they re a very nice texture
OneTaco,30,This place is so underrated    One of my favorite taco shops in Austin because they make the Al pastor tacos on the trompo. On Tuesday they do taco Tuesday and they are  2 for regular sized tacos    Not the mini size that most places do . I have also tried their breakfast tacos and they are delicious   
OneTaco,31,While I do like the tacos themselves. When I place orders for certain sauces  I never seem to get the correct amount or they give me different sauces entirely. I rarely ever get what I ordered with my tacos.
OneTaco,32,Visited for the 1st yesterday  amp  got the veggie taco. This came with grilled veggies. I only ordered 2 tacos  amp  it took almost 15min. The dine in was not crowded at all. By the time I received my food the tacos were cold. The total was  13.53 which included a bag of chips   salsa. I checked my bank statement and One Taco charged me  17.23 which was unauthorized. I didn t leave a tip so why they charged my card extra without my knowing is unknown. I definitely won t be visiting this establishment anymore.
OneTaco,33,I ve eaten at One Taco often...and have loved everything about the menu  service and quality of food.  The ONLY REASON I m giving this trip 4 stars is the steak tacos were very gristly.  I ve had these before and have always been pleased.    Thanks for opening this new location      Well be back often.
OneTaco,34,Stopped for a quick breakfast on a Sunday morning. Restaurant was clean  staff was friendly  and tacos were good. Small place but it seems most people take their tacos to go. I would stop by again for a quick bite if i was in the area.
