restaurant_name,number,review
Chipotle Mexican Grill,1,If I could give this chipotle more stars I would   My boyfriend and I order take out from this chipotle at least once a week and every time we order  it s exactly what we re looking for... we have never ordered online and gotten anything less different for almost six months now... great customer service 
Chipotle Mexican Grill,2,Restaurant was very clean when we walked in.  The food looked very fresh  and the employees were eager to serve us. Unfortunately  we just popped in to cool off for some drinks  so we did not have the food. However  the auga fresas were very tasty--especially the lemonade.
Chipotle Mexican Grill,3,Always had chipotle as a go to when needed a quick good meal. Today completely disappointed this is just unsatisfactory. I don t know what happened but this ruins it. I went and picked something else up better that was more appealing looking
Chipotle Mexican Grill,4,This was my first time enjoying the delicacy of Chipotle Mexican Grill  and all I can say is  Wow  . The tantalizing taste I experienced when the chicken burrito with rice  pinto beans  cream  and corn was life changing. I sincerely do not believe I will ever taste a burrito quite like this one  and I am excited to come back and try the other flavors they have at this establishment. The customer service was superb  but I unfortunately do not remember any of their names. Would definitely recommend this restaurant since I ve never heard of it before and people should definitely hop aboard this chipotle train.
Chipotle Mexican Grill,5,Positively the slowest most disorganized Chipolte I have ever been too. Slow slow slow    Orders never ready on-time 
Chipotle Mexican Grill,6,Excellent and delicious food  Fast delivery. Great place to dine or order out  We enjoyed all the food snd have ordered several times since the pandemic.  Great customer service snd delivery time.
Chipotle Mexican Grill,7,It s a standard chipotle.  I ve eaten here for years and never had any issues with pickup  takeout  or delivery. Staff always seem nice
Chipotle Mexican Grill,8,Bad    Found a hair in my chicken     Ordered the burrito bowl with chicken and there was a hair on one of the chicken pieces. Yuck  Disgusting  Can t imagine eating at a chipotle ever again in my life 
Chipotle Mexican Grill,9,I always go to chipotle  one of my favorite spots  but avoid this location  the service was horrible  the workers behind the counter were very unfriendly  they told my daughter she couldn t get an extra tortilla.  My daughter is 11  give me a break  
Chipotle Mexican Grill,10,Exhausted and tired after a busy day running around Austin and we just wanted an easy dinner.  When we got there they had just finished making new rice and the steak was out.  The girls at the front were really nice and gave us free drinks while they made us fresh steak.  It took about 4 minutes.  By the time we left all of the food was fresh.  It was one of the best burrito bowls I have had.
