restaurant_name,number,review
Lopez cabrera sabor y Tradicion,1,The best breakfast tacos and sweetest people. My favorite  I ve been to multiple trucks but nothing compares to her tacos. Delishhhhh
Lopez cabrera sabor y Tradicion,2,Let the 4 day weekend food binge begin  ...Dang good breakfast Taco coming from a super friendly lady in a tiny food trailer  ...Bacon  egg and cheese...and Chorizo  egg and cheese...both sauces were great...orange was  spicy...very addictive 
Taqueria Mejia,1,Welp  another amazeballs taco experience in Austin.  Mejia is very good  for sure 5-star category. I had my usual test tacos  2 bistek  amp  1 pastor.  Fillings  The bistek was charred perfectly  soft  juicy and flavorful.  The pastor was spiced perfectly  soft and also juicy.  Pineapple was very flavorful.  Tortillas  nice and earthy corn and structurally perfect while still being soft.  The lime was one of the juiciest limes I ve ever had at a taco wagon.  What they do differently  You get a fresh  amazing  large  grilled jalepe o and they grill their onions instead of just chopped uncooked as is the norm.  Overall very very good and I like the fact that they switch it up a little.
Taqueria Mejia,2,I just tried this gem today  part of my continuing quest to find the best trailer food in town. I was seeking a mid-afternoon snack and was pleased to find they serve breakfast tacos all day long.  It s never a bad time for breakfast tacos  am I right   Two egg and cheese on flour tortillas   2 taco. The flour tortillas did not appear to be made in house  but they were soft and tasted fresh. The eggs were crisped around the edges  yum    the cheese all melty  and when I added green sauce to my tacos  I was in heaven   The owner    said the red sauce was hotter so I stuck with the green  plenty hot for me.  Picnic tables sit under large oak trees and make eating outside the trailer very pleasant. My breakfast tacos were simple and delicious  and I ll definitely be back to try other offerings.
Taco 'N Mama,1,This taco place is located inside the subway and is now called  Un Taco Mas . We stumbled upon it while waiting to pick some friends up. The tacos were SO good. So good in fact that on several road trips from Houston to Austin we have stopped here to eat. Quick  well priced and delicious. Would recommend and will obviously be back.
Taco 'N Mama,2,Staying at the Hilton next to the Austin airport. Went for a walk around the hotel and just happened to see this place. It s located inside the subway.  I ordered Carne Asada burrito. They didn t have any ready  so they immediately cooked up fresh meat. From there I was able to complete my burrito with whatever toppings I wanted.  I must say  local ingredients and fresh food  A great surprise and beats hotel food.
Taco 'N Mama,3,I usually time out my airports runs perfectly to not need to stop in the cell phone lot but today   I did have an extra 10 minutes to stop in someplace and I was STARVING.    Austin Java was closed because its the day before Thanksgiving  lazy hippies     and I was hungry but not hungry enough to eat at Subway  thus Taco n  Mama to the rescue.   It s a nice menu and you can t beat paying less than  5 for a taco in this taco anymore.  My jimica agua fresca was good  just the right amount of tart and sweet.     My cochinita taco was very wet and not well flavored and even their extensive salsa bar can t fix a lack of salt in the cooking process.  But the meat was high quality and very lean  might also explain lack of flavor   no funny stuff in it.  I will come back if I ever need to kill a few minutes and grab a bite in the cell phone lot.   Editor s Note  reviewer is herself a hippie at heart and is mostly jealous the AJ staff got today off as a holiday.
Taco 'N Mama,4,Found this hidden gem  completely by accident. I am glad I did  because the food was amazing. My daughter randomly chose to come in to this place and we will definitely be back.
Jack in the Box,1,Great experience. Staff was very friendly and seemed to care about the work. Better than the absolute travesties that are happening across the street at both McDonald s and whataburger.
Jack in the Box,2,The worst jack in the box in Texas. Want food after 9 pm  Good luck  Says it s open but the employees don t want to do anything. Laughable to say the least. CLOSES AT 9   
Jack in the Box,3,I go to the drive thru and they answer and then when I order they said O  sorry we closed now we won t open till 6am  you can come back then.  I pull around and there are a few employees just hanging out. This isn t the first time this has happened at this location.
