restaurant_name,number,review
Fairways Cantina,1,I am so happy I got to experience Fairways Cantina through an Elite group but I also ordered more than was offered so I am eligible to review the restaurant.   The mixed drinks pack a tremendous punch and are delicious  The John Daly was great  and my favorite  and I got to try the Mo Willy Margarita. It was equally as good.   The salsas are consistently great and they re eloquently made for different palettes and desires. I had the Great White Shark taco and it was incredible.  We got to listen to the owners talk about their passion for this restaurant and I am so proud of them for getting to pursue it with this connection to a golf course.  To be honest  I didn t know this place even existed and I m grateful I live close by 
Fairways Cantina,2,Salsa  Salsa  damn good salsa  I was completely blown away from the delicious  fresh  spicy salsas. They reminded me of the salsa I had in El Paso  it definitely hits differently  Seriously  bottle the salsa and people will come just for that   The food is just as good  if you had to choose a taco I highly recommend the Shooter McGavin taco it is a like a deconstructed Al pastor taco but with pulled pork   The owner is super generous and humble  we will be coming again and again 
Fairways Cantina,3,Try this place next time you are in the Mueller area  Came back after discovering this Cafe was open to the public not just golfers  and it s delicious. Highlights include- the faraway salsa  it s made in house and a new favorite of ours   the shooter McGavin taco  and the pink panther cocktail.   Other great options- the fried fish taco was solid  the quesadilla with a side of queso to dip is delicious  and really all their cocktails are great. They also have can beer  cider and white claw for  6 or can wine. I was told that you can buy a can and take it with you while golfing.  The setting is lovely on a nice day. Shaded porch or indoor seating  and It s fun watching others playing golf while enjoying tacos and cocktails. Very relaxing  I think this is a new go-to for us 
Fairways Cantina,4,Tbh  when I first saw this place on my yelp map  I thought   tacos... at a golf course    But I couldn t have been more wrong. The food here is INCREDIBLE. It s kind of a small menu but everything is so flavorful. Their fish taco is my fav but I also like the pastor and their breakfast items. They have delicious frozen margaritas or you can get em on the rocks. There s a good beer selection. And their patio has a gorgeous sunset view. The owner is crazy friendly and will stop by to see how you re doing. So far  I ve introduced this place to a handful of friends and everyone has loved it.
Fairways Cantina,5,Hidden gem alert  I had been wanting to check out this spot for awhile since it s so close to my home. When I first walked in  I was surprised it was counter service and a lot more casual than I expected. However  the staff  especially Nadia was amazing. The Pink Panther marg was so delicious even though it was premixed. Also  guac and chips were on point. Fries were good but I couldn t really enjoy them since I filled up on a lot of other food. Golf course provided a lovely view. I m sure the sunset would be stellar here. I ll definitely be back 
Fairways Cantina,6,I have been here a few times now. What I love most is the ambience. The sounds of the city and all the road noise disappear on their porch that s cool by fans. The food is good but not remarkable. It s that get away feeling that brings me here. Yes I will go back again and again.
Fairways Cantina,7,Always had a beer here after a round for very reasonable  4 but tried a migas tacos  corn tortilla  today and wow  Was amazing   I put it up there with veracruz and tacodeli which I think are great. And the view from the patio ovsr the putting green and course is fabulous.  This counter service place is clean and has comfortable seating inside and out.  Service is always great too   Red and green smooth salsas are awesone too
Fairways Cantina,8,My husband and I stopped in here on a beautiful particularly warm winter day in December. Thanks  global warming.   We both got margaritas. I settled on the Mo Willy margarita and the hubby got a frozen one. Yummy is all I will say and recommend.   We ordered chips and salsa to share. The salsa per my husband was on the spicier side. I however am immune to spice but I can say it was flavorful.   Overall a nice place to grab a drink and food while you watch people at the driving range area hitting some balls.
Fairways Cantina,9,Anybody who knows me knows that I abhor golfing.  That said  I had a great time dining at the Fairways Cantina and hitting a few balls at the driving range. The food was savory  colorful  and well-priced.  I went at seven in the morning  so drinking a marg seemed a little inappropriate.  I d love to go back and try one 
Fairways Cantina,10,Very disappointed with this place  the kitchen was obviously disorganized which caused a delay in my food and the manager was clearly frustrated and very rude.
Fairways Cantina,11,I did not expect one of my favorite taco places to be on a golf course  The tacos and frozen margaritas alone make me want to book more tee times at Morris Williams.   I m slowly making my way through the menu and my favorite so far is the Green Jacket taco  which is beautifully assembled and features a fried avocado. The picante red salsa is also the perfect amount of spice for me  it s very very spicy  for those who can t tolerate spice . The frozen drinks are also delicious and stronggg. Definitely recommend the frozen margarita or the 19th hole lemonade 
Fairways Cantina,12,Great food  great service and a lovely relaxing environment  The tacos were fresh and flavorful. The frozen cocktails are strong and fantastic with a tajin rim. Great view of the golf course. They open early so it was the perfect stop before heading to the airport 
Fairways Cantina,13,What an awesome spot  I wouldn t have thought a golf course would have such a good place for a bite. The fish taco was amazing and tasted so fresh. Elote was absolutely delicious. We happened to catch happy hour and certain drinks were  2 off. They were also spot-on. The views and outside seating area were so great too. Friendly staff. I d love to swing back by here when I m the area 
Fairways Cantina,14,Love the owners.  Cool young people with a great vision to add value to the golf course.  Food is simple but tasty  Plenty of parking Clean restrooms And a great sitting view of the course. Only issue is extreme weather and not enjoying sitting out but that s not their fault  lol
Fairways Cantina,15,Best Migas in Austin. Hands down. The food is incredibly good  the staff kind and enthusiastic  frozen drinks stiff and delicious  not too sweet   and the gold course views are great. We live in University Hills and this place has become our favorite  secret  brunch spot.
Fairways Cantina,16,Wow I m so glad that I found out about Fairways Cantina through the neighborhood fb page. Finding the Cantina was a little difficult because Apple maps led us astray  but it s located next to the golf range so just take the entrance to the course. We ordered online and received our food in around 15 minutes. Be careful of their hours as they close pretty early. They have really great outdoor seating that faces the golf course and we will definitely be back for brunch with a view.  We ordered the Green Jacket  Merry Mex  Street Elote  a Frozen Margarita  and a 19th Hole Lemonade. All were really great but be prepared for the kick in the elote. It was a lot spicier than expected. I recommend looking at their website menu for descriptions of their food instead of the online ordering system as it is a little more accurate.
Fairways Cantina,17,My favorites are the Cantina Fries and the migas taco. Everything is fresh and delicious.  The patio has beautiful plants and is a wonderful spot to hang.
Fairways Cantina,18,Great place to stop in for  breakfast or lunch. Love the avocado and the fish tacos. Everything we have had so far has been delicious. The place is clean and has a friendly atmosphere without the usual Austin parking issues.
Fairways Cantina,19,These tacos are amazing. Queso is great  Margaritas are freaking fantastic   Love this place and you can watch people play  Great views   Love it  I need to visit more often tbh 
Fairways Cantina,20,Great view  drinks and tasty tacos. A find. Don t have to be a golfer or even care about golf to enjoy this place.
