restaurant_name,number,review
La Montaña Tacos,1,I did it. I came back when I visited Austin again. Damn was it worth it  The tacos were just as good as I remember  though the prices have  reasonably  increased a bit. Still very affordable though  especially when compared to larger  less-delicious  gentrified tacos you can find at places that rhyme with  Porchy s Pacos.  The pastor tacos remain the undefeated champ  but the carnitas and tinga tacos also earned their spots in the winners  circle.
La Montaña Tacos,2,I ve been looking around for the best breakfast tacos in this area and landed on La Monta a. Homemade tortillas with a perfect flavor stuffed with bacon  egg  cheese and grilled jalape os is what gets me moving in the morning. Highly recommended this place.   Don t let the appearance full you. This place slams.   Note to owner... If you painted your sign  you d get more business. Keep up the amazing cooking because you ve now become my favorite Mexican restaurant in town 
La Montaña Tacos,3,Best. Street. Tacos. In. Town. Period. Well priced food items. And next door is the juice store if you feel like going all in. People are very nice.
La Montaña Tacos,4,Ever come across a place and wondered how come I missed this while browsing....I had to go to the first review and its been open since 2017...after our Breakfast Taco outing  I though about how much I have missed out. These Tacos are excellent  ....Scratch made flour tortilla all day....We both had the same....Chorizo  Egg and Cheese and a Bacon  Egg and Cheese...You dont expect much on presentation when getting BT to go  but this place is different. Served flat on a tray and covered with foil...Looking at it made them all that much better. Permanent Book mark for this place.
La Montaña Tacos,5,Note  This review is for their new north location  on Pond Springs  After a lovely Sunday of buying awesome Mexican Metal yard art with which to adorn our fences and deck  the hubs and I were craving some serious Mexican eats  We found La Montana here on Yelp  and away we went    First  I just have to pay homage to that INCREDIBLE  and strong   frozen margarita that we had  I opted for a large  and it was. Hubby and I shared it  and we both felt like we were whisked straight back to Cancun  Seriously delightful  and not too sweet   Equally delightful were the chips and salsa  The chips there are reminiscent of Houston s legendary Ninfa s on Navigation  if you re familiar with that yummy place  Thin and crispy  And that salsa  Beyond fresh and bright  y all  We could have easily polished off two or three baskets with a vat of salsa    On to the meal   My husband had the Tinga  the Asada  and the Trompo tacos  just to get a feel for the place  and he was BLOWN away by the deliciousness and the authenticity of each of them  He said that he could easily imagine himself buying them from a street vendor in Mexico  which is the highest compliment  What makes them even more special is the gorgeous and warm handmade corn tortillas that they arrived in. Topping them with a bit of that aforementioned salsa made them just that much more dreamy for him    If you thought that my husband was losing his mind over the tacos  it was officially BLOWN by La Montana s Caldo de Res  Suffice it to say that HE LOVED IT  Caldo is his jam  and this one was simply the best that he s ever had. He called it stupidly crave-worthy and absolutely perfect. Full stop. You can trust him on that  if you re the caldo sort  Go grab some ASAP    As for me  after that enormous rita and all of those chips and salsa  I opted for just one Beef Fajita Taco with a side of crema  and it was AWESOME  I could totally see what hubs was talking about with his taco love  It was legit    Speaking of legit  this is authentic Mexican food  which is definitely what we were looking for  If you re looking for that oozy  gooey  cheesy Tex Mex-style Mexican food  you might want to hit up Matt s  but  if you re down to take a stroll through Mexico proper  gastronomically-speaking  hit up La Montana  You ll love it  The price is right  too  No downsides  Only ups    They re relatively new at this location  so they could definitely use your patronage  particularly during these times  Go grab a margarita  and say hi to our adorable server  Leniel  while you re there  Cheers  y all 
La Montaña Tacos,6,I honestly can not say much about the food  given that I haven t tried everything they offer. What I have gotten was the carnitas  beef fajitas tacos  rotisserie chicken  and chicken sopes.  Carnitas are very hit or missed  they could be better especially if the consumer had the option to have it with all they mix with the carnitas or WITHOUT  just plain carnitas.  Beef fajitas tacos are good  mainly because the corn tortilla is hand made   Love the rotisserie chicken   Sopes are good.  The problem is the rudeness of the employees  Worst part owner is there most of the time and doesn t do nor say anything to them.  Over the phone orders are a nightmare  Make sure  no matter how busy they are  to have them repeat your order to you and make sure you check your order when you receive it before leaving 
La Montaña Tacos,7,I go here in the morning for the breakfast tacos and I think they are one of the top spots of Austin. They move really quick and are consistent every morning.
La Montaña Tacos,8,I ve been looking for a breakfast taco spot for soooo long  These are authentic Mexican tacos and the prices aren t bad either. The service was  also quick  This place is easy to miss but def worth stopping by and trying.
La Montaña Tacos,9,Love their menudo  amp  ceviche  They have really good food but those are my go to. But my absolute favorite is their ceviche   
La Montaña Tacos,10,Excellent  quality  inexpensive tacos and mexican food. This is a local small business primarily frequented by the spanish speaking community  and as as result I consider it authentic tacos and flavors. It s not comparable to the  taco delis  and other chain stores.   Some of the tacos come with a slice of lime so you can add that perfect touch of tangy  citrus flavor right before you enjoy them with  or without  some of the house sauce  it s spicy more than flavorful .  My go-tos meats on tacos and quesadilla   asada   beef fajita and tinga  chicken . You can do 1 2 half on the large quesadilla or try a mini one depending on your hunger level. The mexican rice is some of the best I ve had and it s a nice side  even if you just stick to the tacos.  Call in to place a pick-up order  as they make everything fresh and you may have to wait otherwise. If you have time  check out the small juice place nextdoor. They only speak spanish  but don t let that stop you... It s fantastic freshly squeezed juice that s made to order   cheap   -- my personal favorite is the OJ.
La Montaña Tacos,11,Real mexican tacos. Im glad I could find the real taste of Mexico in the Austin area 
La Montaña Tacos,12,This review is for the Pond Springs location.  I ordered take out.  The menudo was hands down the best I ve ever had.   My son wanted the chicken enchiladas and ate the entire plate which was more than enough for 2 adults and he s 8   I had the lingua and barbacoa tacos and wish I had ordered more.  They serve goat on Sundays and I can t wait to go   Don t skip this gem.  The staff are amazing and you can tell they love what they do.
La Montaña Tacos,13,Note  Pond Springs location review- Went back during dinner for more yumminess... it was still good  but ... when we walked in we were told we can sit where we want by a young lady who had her kids in a stroller... I guess she is the hostess  amp  didn t have any child care that night  During our visit she strolled around the restaurant multiple times with the kids. The salsa wasn t as fresh... it was different than our first visit... it was fresh  just not the same recipe  so that was disappointing  as I love my chips n salsa.  It didn t have that Bang- i just made this salsa taste.  The flautas were still good... just still wishing for some crunchy grilled tacos.
