restaurant_name,number,review
Lazarus Brewing,1,Love this place. Always easy to find a spot. Space outside is great and the food is simple but nice.
Lazarus Brewing,2,Great tacos  Coffee  Really nice bartenders and servers  very helpful for out of towners .
Lazarus Brewing,3,I m dropping you a star.  If you claim to play World Cup you may want more than one television. I m down with having an event to draw people but make sure you can support it. Don t claim World Cup and have one television. This honestly annoyed me. I wasted my time coming here vs so many other places. I know it s not a sports bar and I love that fact but DO NOT claim World Cup or any other televised event with one television. It s a joke and the owner is lost if he thinks one TV checks the box.  So if you want to attend and event just don t bother with Lazarus. If you want a good time that isn t aligned with an event then this place is boss   I genuinely like this place but the sad attempt to draw business for an event is weak. Don t bother  go elsewhere for those things.  You guys need at least 3 televisions only for these events. Don t advertise otherwise.
Lazarus Brewing,4,Eh  it was okay. Was in Austin last month and searched Yelp for places to get a bite and a beer or cider. This place looked great  but the food was just borderline okay. We had the quest  which I was excited to try because of reviews  but was not my favorite. The tacos  about the same. Service was nothing put of the ordinary.
Lazarus Brewing,5,I had so much fun here   There is a ton of outdoor seating.  This ranges from an outside bar facing the street with bar stools  small outdoor tables  to larger picnic tables.  There is also some indoor seating but not as expansive as the outdoor.  The food and beer was great   I got a hazy ipa and quesadilla.  Options were limited compared to some places  but I like that because it makes the decision process easier.  For beers  there were about 1 option for each kind of beer.  Example  1 hazy  1 double hazy  1 Oktoberfest  1 German Pilsner.  The menu said they don t have quesadillas everyday   but tacos are always an option.   Service was friendly and quick for the most part.  You order food at the bar and they bring it to you.  It took a little while to come out  but I wasn t in a hurry.
Lazarus Brewing,6,Great beers and food  They have a huge patio and it was packed at three in the afternoon. Fun  upbeat vibe. I had their Street Tacos and they were delicious. The line to order was long but the food came out pretty quick. My cousin had the Torta and she really liked it. Lots of dogs on the patio which was cool. They had Mexican Coke  which is always a plus.
Lazarus Brewing,7,Stopped at Lazarus Brewing after landing in Austin. Met our son and his wife here for some beers and a bite for lunch. Plenty of street parking available. Place has outdoor beer garden and an indoor bar area.  Beer for me and a white wine for my wife. Ordered a carnitas torta for my wife and a chicken chipotle rice bowl for me. The food and the beer went very well together. Maybe it was because we were famished  we left our house at 3am to catch the flight from Newark International. Love trying the local breweries when traveling and Lazarus didn t disappoint.
Lazarus Brewing,8,i love this brewery  it has so much outdoor seating with some covered and uncovered. it s in a great area in east austin where you can just park and bar hop down the street. it has amazing food  particularly their queso and quesadilla. they have a great selection of beer and awesome merchandise. their cold brew is pretty delicious too  probably my favorite brewery in the austin area.  also  they have oktoberfest going on and their giant glass steins are  25 with  10 refills. pretty cool.
Lazarus Brewing,9,We had a negative experience waiting at Counter Caf  and decided to walk next door and try Lazarus. Blessing in disguise    Lazarus is counter service and they offer plenty of seating both inside and on their expansive patio. Breakfast ends at 1pm and is quite delicious.   The torte was quite filling and the tacos were just as delicious. We were pleasantly surprised as to how good the drip coffee is.
Lazarus Brewing,10,It s cool place to hang out with your co colleagues after work or friends and family. Also nice place for a date night . Casual and u find yourself plenty of drinks to choose from and food is pretty decent . My favorite was Queso Fondito. Good for appetizer. I got rice bowl with Asada and loved mine . Hubby got street tacos and said they are pretty good. I will definitely come here again. If you are looking quite place this is not the place since they music is on louder side but we didn t mind it.
