restaurant_name,number,review
Bulevar,1,Wonderful new restaurant  Beautiful decor  great service and the food is amazing  I can t wait to go back 
Bulevar,2,I went there With my family we got the chips and dips of all kinds. The food took a very long time to come out and the portions were very small. I got the tacos two of them and each of them you could eat in one bite . Very pricey
Bulevar,3,Wonderful service  Thanks Jake  and delicious plates  The stripe bass and bone in filet were outstanding. We ll be back 
Bulevar,4,One word to describe this place AMAZING.. okay maybe two words INSANELY GOOD. Hubs and I tried this place and let s just say from drinks to appetizers to main course everything was phenomenal. I had their LA SIRENA drink and the PASION Y PARAISO both were amazing.  We also had the salsa tasting  tuna tostada  and Hamachi collar as starter and they were all flavorful  good starter portion and delicious. For main dish i had the chicken  full of flavor and so moist and hubby had Mixto Pibil which was juicy and so flavorful.  Highly recommend this place. We loved it so much that we will be going back next week to celebrate a friends birthday  amp  bring our friends end of the year when they are visiting ATX. The service was also exceptional  our waitress Monica was so sweet and nice.
Bulevar,5,Great new spot  with plenty of dishes to try. We came by on a Wednesday during HH and by the time we left  the place was packed. I definitely recommend getting a reservation. Make sure to note  if you want to take part in the HH  you need to be sitting in the bar area  bar or tables .  We ordered the following  Salsa Tasting Hamachi Taco De Trompo Fish of the Day Sweet Potato Corn Churros  We were definitely stuffed by the time we left. Hands down favorite was the Tacos de Trompo. They were filled with an explosion of flavor in every bite. I easily could have ordered 3 orders of just those and been very happy.    Biggest disappointment were the salas and hamchi. Both were on the expensive side and simply just not worth it  taste or cost .  Definitely should have stuck with the queuso.   All that being said  the chips and tortillas were great  and the sweet potato was a surprise gem. Lastly  if you are going for happy hour  make sure to order the Hielo Mescal. It may look small  but it packs a punch   We ll be back to try some additional dishes.
Bulevar,6,If I could give 10 stars I would  My fianc e and I chose Bulevar for our weekend date night. We made reservations for a Saturday around 5 30pm. When we arrived there was a very short wait . Everyone was so so nice and accommodating  We had three separate waiters  which is a great touch since they got busier as the night went on  I started out with a drink  the PASION Y PARAISO. Be warned   Their drinks are STRONG . I m not a heavy drinker so I couldn t make it through that drink so I orderd the LA SIRENA. She was a STAR and I managed to finish the entire drink. Lastly   yes I ordered 3 drinks  I tried the MARGARITA DE LA CASA with added mezcal  I believe  to make it spicy  Winner Winner as well   On to the food  to start  we orderd the SALSA TASTING and the DON FRIJOLE Y QUESO  The salsa s were all delicious. My favorite was the spicy one   don t remember the name but they ll tell you which is which . The queso was very good as well  but I personally didn t like all of the refried black beans. There was a thin layer of cheese and and after two or three scoops the queso is over powers by beans.   Our main course consisted of SOPES DE TROMPO and SHRIMP  each were so flavorful and delicious. I can t say enough about  how much we enjoyed this restaurant   If you don t go for the food and drinks  at least go for the immaculate ambiance  The views are breath taking.  The entire rest is beautiful decorated and gives a sense of calm and whisks you away to some paradise   Bulevar  thank you for one of the best dining experiences I ve had in months 
Bulevar,7,Gorgeous view  they really changed this place up from its Z Tejas days    While I tried my best to not compare this place to ATX Cocina  it was a little hard. I think Bulevar is on it s way  but not quite to the level of excellence its  older sister has achieved.   We got the bean dip to begin with  and unfortunately the texture and flavor were a little off - slightly sour    After that  we noticed we had to wait a very long time for service food  and spent much  much longer at dinner than we would ve expected.   We split a few other apps and the chicken dish. All of it was well cooked and seasoned  but I still didn t find myself enjoying everything quite as much as ATX Cocina. I do prefer this location AND this stunning view  though    While normally I d put this at a 3  I know there are some growing pains involved with a new location. I REALLY look forward to coming back and seeing this place blossom into its  own 
Bulevar,8,Finally  A GREAT restaurant in Austin that lives up to the hype. Part of the red ash group we wanted to give this restaurant a try. Everything about ambiance  service  to food was amazing    Our favorite dishes were the hamachi  sopes de trompo  and the fish split with two sauces. I hear all the fish dishes are all good and out of this world so I definitely recommend it    We definitely be back although reservations are now tight  However  not surprised...
Bulevar,9,Great services from the host  manager  server  to assistant servers. We were there on a Saturday at 7 30pm. They seemed hustling and bustling.   I highly recommend the bone in ribeye  tender and juicy  and Esquites  corn . We also had the guacamole with gumbo lump crabmeat and hamachi for appetizer  but the hamachi ended up coming out with our entrees. Their seafood items all came out much later for some reason including the scallops. We also ordered the half roasted chicken  Pollo a las Brasas   which was nicely done with the creamy sauce.   The drinks were ok  Artnom 1146 Anejo tequila with agave  Manhattan  Dirty Martini  and Campo de Suernos.  Giant props  the seats are comfortable   Always a BIG positive in my book.   It s a great place for dates  friends  etc. I actually saw a guest with a baby carrier  I didn t hear the baby cry though.
Bulevar,10,This place is fun to go with a big group of friends. The restaurant itself is very loud and there s a lot going on at all times. If you want a more romantic and pleasant experience you definitely want to eat outside. It s almost like two different restaurants in terms of atmosphere. Party inside and chill outside. I didn t sit at the bar  but it seems like a cool spot to grab a cocktail and quick bite.  Food was good. Cocktails were decent.  The crowd is mostly 30 . I don t know if this is a fair comparison but the vibes on the inside are similar to Fonda San Miguel and the outside is like The Oasis  Just in terms of the place not the food. Food is better here.
